
2024/08/04 (14:24:26) | ===> btop++ v.1.3.2
2024/08/04 (14:24:26) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/04 (14:33:34) | ===> btop++ v.1.3.2
2024/08/04 (14:33:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/04 (19:20:01) | ===> btop++ v.1.3.2
2024/08/04 (19:20:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/17 (21:44:22) | ===> btop++ v.1.3.2
2024/09/17 (21:44:22) | ERROR: Stall in Runner thread, restarting!
2024/09/17 (21:45:56) | ERROR: Stall in Runner thread, restarting!
2024/09/17 (21:46:58) | ERROR: Stall in Runner thread, restarting!
2024/09/17 (21:47:58) | ERROR: Stall in Runner thread, restarting!
2024/09/17 (21:48:34) | ERROR: Stall in Runner thread, restarting!

2024/10/01 (18:52:00) | ===> btop++ v.1.3.2
2024/10/01 (18:52:00) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/22 (14:01:59) | ===> btop++ v.1.4.0
2024/10/22 (14:01:59) | ERROR: Stall in Runner thread, restarting!
